appid,name,price
13570,Tom Clancy's Splinter Cell Chaos Theory®,8.59
13580,Tom Clancy's Splinter Cell Double Agent®,8.59
13600,Prince of Persia®: The Sands of Time,8.59
13620,Tom Clancy's Ghost Recon® Desert Siege™,4.29
15000,Tom Clancy's Rainbow Six Lockdown™,4.29
15080,Rayman Raving Rabbids™,4.29
15100,Assassin's Creed™: Director's Cut Edition,8.59
15120,Tom Clancy's Rainbow Six® Vegas 2,8.59
15130,Beyond Good and Evil™,4.29
15160,Petz® Horsez® 2,4.29
15170,Heroes of Might & Magic V,8.59
15190,Brothers in Arms: Road to Hill 30™,4.29
15200,Silent Hunter®: Wolves of the Pacific,8.59
15210,Silent Hunter® III,4.29
15240,Silent Hunter®: Wolves of the Pacific U-Boat Missions,4.29
15270,Cold Fear™,4.29
15300,Tom Clancy's Ghost Recon®,8.59
15320,IL-2 Sturmovik: 1946,8.69
15370,Heroes of Might & Magic V: Tribes of the East,8.59
15380,Heroes of Might & Magic V: Hammers of Fate,8.59
15390,Brothers in Arms: Hell's Highway™,8.59
15400,Harvest: Massive Encounter,5.79
15500,The Wonderful End of the World,6.99
15520,AaAaAA!!! - A Reckless Disregard for Gravity,6.99
15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,6.99
15620,"Warhammer 40,000: Dawn of War II",14.99
15700,Oddworld: Abe's Oddysee®,1.99
15710,Oddworld: Abe's Exoddus®,1.99
15740,Oddworld: Munch's Oddysee,3.99
15750,Oddworld: Stranger's Wrath HD,6.99
15800,Planet Busters,5.99
15900,7 Wonders II,6.99
15910,Luxor Amun Rising,5.99
15920,Luxor 2,5.99
15930,Luxor 3,5.99
15960,Little Farm,5.99
15970,Luxor,5.99
16000,Discovery! A Seek and Find Adventure,6.99
16020,Samantha Swift and the Hidden Roses of Athena,5.99
16030,7 Wonders: Treasures of Seven,6.99
16040,Luxor: Quest for the Afterlife ,5.99
16060,Samantha Swift and the Golden Touch,5.99
16100,Virtual Villagers: A New Home,5.99
16110,Virtual Villagers: The Lost Children,5.99
16120,Plant Tycoon,5.99
16130,Fish Tycoon,5.99
16180,Virtual Villagers - The Secret City,5.99
16200,Virtual Families,7.49
16450,F.E.A.R. 2: Project Origin,9.99
16500,Chaos Theory,1.99
16600,Trials 2: Second Edition,5.99
16620,Monster Trucks Nitro ,16.99
16710,Insecticide Part 1,0.79
16720,Velvet Assassin,1.69
16730,Legendary,1.69
16810,Sid Meier's Civilization IV: Colonization,9.99
16900,GROUND BRANCH,15.49
17080,Tribes: Ascend,0.0
17100,Children of the Nile: Enhanced Edition,5.99
17120,Children of the Nile: Alexandria,1.49
17140,Hinterland,6.99
17180,Mosby's Confederacy,6.99
17300,Crysis,9.99
17330,Crysis Warhead®,7.99
17390,SPORE™,14.99
17410,Mirror's Edge™,9.99
17430,Need for Speed Undercover,9.99
17440,SPORE™ Creepy & Cute Parts Pack,9.99
17450,Dragon Age: Origins,14.99
17460,Mass Effect,7.99
17470,Dead Space,14.99
17480,Command & Conquer: Red Alert 3,9.99
17500,Zombie Panic! Source,0.0
17570,"Pirates, Vikings, and Knights II",0.0
17710,Nuclear Dawn,6.99
17740,Empires Mod,0.0
18000,"Precipice of Darkness, Episode One",5.99
18020,"Precipice of Darkness, Episode Two",5.99
18040,DeathSpank,7.99
18050,DeathSpank: Thongs of Virtue,7.99
18070,The Baconing,9.99
18120,Unstoppable Gorg,6.99
18300,Spectraball,3.99
18400,Crazy Machines 2,7.19
18420,Crazy Machines,6.99
18470,Helldorado,6.99
18480,Mata Hari,3.99
18500,Defense Grid: The Awakening,6.99
18600,Mayhem Intergalactic,6.99
18700,And Yet It Moves,6.99
18820,Zero Gear,3.99
19000,Silent Hill Homecoming,17.99
19020,Puzzle Chronicles,7.99
19030,Rocket Knight,11.99
19080,Biozone,7.99
19200,Tank Universal,3.99
19320,Space Ark,3.99
19500,Eternity's Child,2.99
19800,Brothers in Arms: Earned in Blood™,4.29
